model_method,hyperparameter,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits,codebook_size
roberta-base_lsq,16.0,0.002835228160190012,0.5059197236618281,0.14876541091245093,0.577618218511343,0.7165986101003241,0.5293661142926522,0.7160613909992005,0.9239207291603089,2889.842087366042,16.0,
roberta-base_lsq,8.0,0.00566984746499407,0.487616512803547,0.1521643070894102,0.5790906171500683,0.7157397059028474,0.5306370909634096,0.7152649868017239,0.9234159845113754,1445.0836147680404,8.0,
roberta-base_lsq,4.0,0.011337260469606224,0.16766070415480716,0.07827108353720356,0.24371938465163112,0.40820436034660046,0.19770816082686796,0.40579609425809715,0.8369225066900253,722.70437846904,4.0,
roberta-base_vq,128.0,1.0,0.1749213135978877,0.0703469651414734,0.17407307223416865,0.31777819102017774,0.07656774776731198,0.3127812981959462,0.8217916935682297,8.0,,128.0
roberta-base_vq,256.0,1.0,0.21701543598513506,0.08215707993630153,0.2065145163796842,0.3454123375913109,0.09139584665359322,0.3415208334029895,0.8341466808319091,8.0,,256.0
distilbert-base-uncased_predictive_masking,0.1,1.0,0.1399309581871921,0.13427027629087027,0.9681323999166489,0.9408287054485206,0.8872069967580657,0.9408287054485206,0.9413143134117127,8.0,,
distilbert-base-uncased_predictive_masking,0.2,1.0,0.14221141628223524,0.10214472303932386,0.9116533041000366,0.8762572848748404,0.7703860559297152,0.8734016079980285,0.9282006829977035,8.0,,
distilbert-base-uncased_predictive_masking,0.3,1.0,0.12222990565008678,0.1031395407853444,0.8661853563785553,0.7954936440787738,0.6316726872701408,0.7902531312734224,0.9149038368463516,8.0,,
distilbert-base-uncased_predictive_masking,0.4,1.0,0.10907807966788875,0.08777851637296695,0.8207679110765457,0.7281725773766061,0.525994333570211,0.7164907067703764,0.9000953722000122,8.0,,
distilbert-base-uncased_predictive_masking,0.5,1.0,0.07487760498887142,0.08314607423893071,0.737151688337326,0.6270313344736861,0.37825287490420123,0.604282188442173,0.8771861219406127,8.0,,
distilbert-base-uncased_predictive_masking,0.6,1.0,0.05553952213913864,0.08007428563599277,0.6778186562657357,0.5378823304749342,0.26477304030435794,0.5010406956948512,0.8574033963680268,8.0,,
distilbert-base-uncased_predictive_masking,0.7,1.0,0.05058513818163411,0.07762695656189089,0.578926405608654,0.4465263443137664,0.1811372363803164,0.40188793349831065,0.8369081169366837,8.0,,
distilbert-base-uncased_predictive_masking,0.8,1.0,0.032354377145513626,0.0658782688608164,0.41791462555527686,0.3570251130234468,0.09957236042597163,0.3141990688273372,0.8113909417390823,8.0,,
distilbert-base-uncased_predictive_masking,0.9,1.0,0.021921987260985033,0.045078143808479576,0.27153967631980774,0.2691323034921615,0.05116894788990485,0.22757119106659388,0.7835175335407257,8.0,,
distilbert-base-uncased_lsq,16.0,0.002892029845582953,0.15678700821637817,0.13605236326152548,0.6704194763302803,0.7202896283138205,0.5221840689920486,0.7190487586965463,0.9040150129795075,2833.970332896146,16.0,
distilbert-base-uncased_lsq,8.0,0.005783423993459913,0.1537911182076411,0.14067910283386345,0.6689696815609932,0.7184286709806446,0.5195299625531701,0.7169552432238356,0.9037565457820892,1417.1477375330928,8.0,
distilbert-base-uncased_lsq,4.0,0.011564306232080657,0.12606317364913028,0.12794391794339607,0.6358384203910827,0.6844515989076466,0.4727477170249289,0.6828176699458989,0.8951837104558945,708.736439851566,4.0,
distilbert-base-uncased_vq,128.0,1.0,0.049508072768403535,0.0687157480383747,0.20039808712899684,0.20898091146721975,0.03690262318107786,0.2033065985298844,0.787235882282257,8.0,,128.0
distilbert-base-uncased_vq,256.0,1.0,0.05795140644809829,0.07206007038265758,0.2597995966859162,0.2513973895145073,0.056256803909416016,0.24821031578076766,0.7948802757263184,8.0,,256.0
