model_method,hyperparameter,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits,codebook_size
bert-base-uncased_predictive_masking,0.1,1.0,0.143261176945338,0.15683028134387192,0.9678277063369751,0.9414671408712667,0.8892887850320319,0.9410177026690195,0.9416181033849716,8.0,,
bert-base-uncased_predictive_masking,0.2,1.0,0.14803824189712766,0.10903086286959875,0.9291201990842819,0.8925556730915296,0.7996082317714215,0.8908623396172466,0.9328018856048584,8.0,,
bert-base-uncased_predictive_masking,0.3,1.0,0.12765178662667595,0.10638876648978554,0.8718663319945336,0.8170169881249479,0.6686201150214908,0.8140027656886636,0.9195461678504944,8.0,,
bert-base-uncased_predictive_masking,0.4,1.0,0.11100419342227133,0.08957072417635394,0.8230612355470658,0.7285602750820592,0.5239073875692313,0.7192449041427635,0.9015822619199753,8.0,,
bert-base-uncased_predictive_masking,0.5,1.0,0.09338554225568504,0.08478920664857263,0.73966343998909,0.6405959260239107,0.4039941582503373,0.6210719112760351,0.8819338583946228,8.0,,
bert-base-uncased_predictive_masking,0.6,1.0,0.07310059839624954,0.09403793822866176,0.6739558181166649,0.5546810782335727,0.27981169313142173,0.522149433365558,0.8627142095565796,8.0,,
bert-base-uncased_predictive_masking,0.7,1.0,0.04195542075052928,0.06803327609712165,0.5813199698925018,0.4591045826879459,0.17552623534553086,0.406177714278397,0.8399873715639115,8.0,,
bert-base-uncased_predictive_masking,0.8,1.0,0.03019623535887588,0.06546166988841202,0.446626612842083,0.37495759680561436,0.10089083950240807,0.31474236574292247,0.8153446412086487,8.0,,
bert-base-uncased_predictive_masking,0.9,1.0,0.01909789138836771,0.03808975006910718,0.28977902851998805,0.2874739810510863,0.04579566877594576,0.23064304894123525,0.7909192502498626,8.0,,
bert-base-uncased_lsq,16.0,0.002892029845582953,0.15289031727737232,0.13662884657067098,0.6244678029417992,0.679256463973332,0.4660838842927898,0.6773805786443412,0.8944169473648071,2833.970332896146,16.0,
bert-base-uncased_lsq,8.0,0.005783423993459913,0.14967139334416266,0.13045036541902402,0.6248142763972282,0.6785468274576444,0.46589156234449497,0.6766743597636503,0.8940170234441758,1417.1477375330928,8.0,
bert-base-uncased_lsq,4.0,0.011564306232080657,0.1326188199899625,0.12057046824958817,0.6036569581925869,0.660167869353153,0.44193260134323364,0.6594930147959452,0.8893347227573395,708.736439851566,4.0,
bert-base-uncased_vq,128.0,1.0,0.05754198303447136,0.07412891614803381,0.22837097177281976,0.22985014993360178,0.0456145392585524,0.22383477846890376,0.7904537785053253,8.0,,128.0
bert-base-uncased_vq,256.0,1.0,0.055589701631496104,0.07399122450858238,0.2907204360514879,0.2651707848514407,0.056003887649990786,0.2583777724561316,0.8012375015020371,8.0,,256.0
roberta-base_predictive_masking,0.1,1.0,0.8921416436812889,0.3254012364308831,0.959430421590805,0.9508957914178978,0.9072148457858242,0.9506735691956755,0.9855155378580094,8.0,,
roberta-base_predictive_masking,0.2,1.0,0.7706693321661909,0.23037148507880434,0.898993923664093,0.8794324780715616,0.7773723458373464,0.8785201687828479,0.9696604949235916,8.0,,
roberta-base_predictive_masking,0.3,1.0,0.6459424310044894,0.17790375158637267,0.8333405244350434,0.8121556668167232,0.6665388395966673,0.8099779487867228,0.9536081427335739,8.0,,
roberta-base_predictive_masking,0.4,1.0,0.4513295355509785,0.16781991493257153,0.7888303235173225,0.7298862390730811,0.5353590696517605,0.7209058840557451,0.9331475245952606,8.0,,
roberta-base_predictive_masking,0.5,1.0,0.354467385769008,0.11543635701958292,0.7008273667097091,0.6398798656731238,0.40708885961801805,0.6186431323904423,0.9111832350492477,8.0,,
roberta-base_predictive_masking,0.6,1.0,0.2512655374842777,0.10739480060921577,0.6471620333194733,0.5634460027449749,0.30244196547221563,0.5304099713256192,0.8831639736890793,8.0,,
roberta-base_predictive_masking,0.7,1.0,0.14822566324355735,0.08782643731765118,0.5343527115136385,0.45426858607867354,0.18774474705624403,0.4171346868072615,0.8557787424325943,8.0,,
roberta-base_predictive_masking,0.8,1.0,0.10156760047598656,0.07855977924509498,0.3705899131298065,0.3480645840179115,0.10059017945456551,0.30905737419920926,0.8189586669206619,8.0,,
roberta-base_predictive_masking,0.9,1.0,0.06953226394236393,0.07713310723426324,0.21528117656707763,0.24291315072734312,0.04337341275900929,0.20971400536388365,0.7805330389738083,8.0,,
