type,sparsity,size_mb,pruning_type,model_name,variant_key,mean_tcm,std_tcm,mean_pcm,std_pcm,mean_crease_density,sst2,mrpc,rte,average,avg_latency_ms,throughput_samples_per_sec,memory_footprint_mb,compression_ratio,total_parameters,nonzero_parameters
original,0.0,417.7638931274414,none,bert-base-uncased,original,812.9682092143016,242.05138396802147,19.638307637313275,2.4697022101044204,0.05342366534255523,0.87,0.7796610169491526,0.61,0.7532203389830509,9.400568008422852,851.0124061473784,6335.9677734375,1.0,109514298,109514298
pruned,0.1,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.1,775.770593748734,213.94356605077806,18.358430122825798,2.3873887509996328,0.0546853285215916,0.895,0.7793103448275862,0.59,0.7547701149425287,9.425930976867676,848.7225314542325,6333.8662109375,1.116845066596068,109514298,98056840
pruned,0.3,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.3,850.3611515494578,235.65174012385594,18.493592642651546,2.655813364947949,0.04655573362163279,0.845,0.7986798679867987,0.585,0.7428932893289328,9.524712562561035,839.9203595335515,6335.6962890625,1.4555819763464917,109514298,75237465
pruned,0.5,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.5,929.0232461388285,263.38536767304095,19.91853447776498,2.959553965966455,0.050047418306414786,0.7,0.7949526813880127,0.525,0.6733175604626709,9.098038673400879,879.31039723857,6337.1728515625,2.078276578740287,109514298,52694766
pruned,0.7,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.7,1011.3260642169555,255.9813398553953,21.16868499986157,2.682211963765136,0.04912121514563906,0.695,0.714828897338403,0.5,0.6366096324461343,9.388260841369629,852.1280070050653,6337.3427734375,3.5690189764242812,109514298,30684706
pruned,0.9,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.9,1198.1580108578098,283.15463184335647,22.63927170923524,1.8705009929431027,0.03753621153212109,0.64,0.7508771929824561,0.5,0.6302923976608187,9.39699649810791,851.3358498761603,6336.8076171875,11.318028671282924,109514298,9676093
pruned,0.1,417.7638931274414,structured,bert-base-uncased,structured_0.1,985.0136189577198,263.32673133682823,20.903039796442016,2.819323317414068,0.0486421887759776,0.535,0.8165680473372781,0.5,0.617189349112426,9.623889923095703,831.2647031426823,6335.1728515625,1.110637956600475,109514298,98604858
pruned,0.3,417.7638931274414,structured,bert-base-uncased,structured_0.3,932.0759267170314,236.54844433665946,20.422430965849806,2.4878629734330526,0.04691858414595152,0.515,0.8165680473372781,0.555,0.6288560157790927,9.459004402160645,845.7549716514164,6338.9228515625,1.4250305756020554,109514298,76850490
pruned,0.5,417.7638931274414,structured,bert-base-uncased,structured_0.5,1138.537339330908,256.54976255986264,21.54125174665214,1.8282105196870824,0.04395311922067349,0.535,0.8165680473372781,0.5,0.617189349112426,9.095611572265625,879.5450351456994,6335.8427734375,1.990025332713326,109514298,55031610
pruned,0.7,417.7638931274414,structured,bert-base-uncased,structured_0.7,932.0759267170314,236.54844433665946,20.422430965849806,2.4878629734330526,0.04691858414595152,0.48,0.703125,0.5,0.5610416666666667,9.10165786743164,878.960747209177,6333.6728515625,3.2973591150140322,109514298,33212730
pruned,0.9,417.7638931274414,structured,bert-base-uncased,structured_0.9,932.0759267170314,236.54844433665946,20.422430965849806,2.4878629734330526,0.04691858414595152,0.495,0.8165680473372781,0.5,0.6038560157790926,9.64423656463623,829.5109671339496,6335.8427734375,9.557587550471874,109514298,11458362
original,0.0,475.68295669555664,none,roberta-base,original,255.41398365422725,82.40324759044425,16.52484504804998,5.950008395939254,0.05878106756100592,0.9,0.8592592592592593,0.66,0.8064197530864198,10.468463897705078,764.1999894324305,7216.0146484375,1.0000128472619105,124697433,124695831
pruned,0.1,475.68295669555664,magnitude,roberta-base,magnitude_0.1,299.0155051832349,101.5446753980602,17.10380685777206,3.484968767497779,0.0604402179015292,0.845,0.75,0.5,0.6983333333333333,10.088920593261719,792.9490500047264,7209.3515625,1.1295037284172937,124697433,110400196
pruned,0.3,475.68295669555664,magnitude,roberta-base,magnitude_0.3,867.2060938283187,244.41991098524645,20.559299264542798,2.6445890846614537,0.05304959928224324,0.82,0.6491228070175439,0.5,0.6563742690058479,10.54255485534668,758.8293454259602,7218.0146484375,1.5154692981232294,124697433,82283048
pruned,0.5,475.68295669555664,magnitude,roberta-base,magnitude_0.5,963.5425236079077,250.21053829819357,20.571686887503155,1.9118615510587131,0.04854424220463296,0.535,0.8165680473372781,0.5,0.617189349112426,10.154132843017578,787.8565431120145,7214.75390625,2.2647640912681304,124697433,55059789
pruned,0.7,475.68295669555664,magnitude,roberta-base,magnitude_0.7,963.7797440476495,252.59879975254356,19.858537487415933,2.382762203263151,0.04303391172792615,0.535,0.8165680473372781,0.5,0.617189349112426,10.23050308227539,781.9752299239523,7216.7646484375,4.190069673186991,124697433,29760229
pruned,0.9,475.68295669555664,magnitude,roberta-base,magnitude_0.9,1035.227793835973,258.89624638011026,23.375518744889778,3.17105136389399,0.04809116381868129,0.535,0.8165680473372781,0.5,0.617189349112426,10.377388000488281,770.9068986939277,7215.50390625,14.337186172137388,124697433,8697483
pruned,0.1,475.68295669555664,structured,roberta-base,structured_0.1,1048.1575623467131,357.95078260556045,23.99576745819923,5.1049801595942945,0.05407562878692091,0.535,0.8165680473372781,0.5,0.617189349112426,9.99786376953125,800.1709349531454,7220.333984375,1.1106887942518615,124697433,112270362
pruned,0.3,475.68295669555664,structured,roberta-base,structured_0.3,893.2165773265874,229.0067714480359,24.863425807876002,4.599852640396664,0.05328110064992843,0.535,0.8165680473372781,0.5,0.617189349112426,10.296449661254883,776.9668442223993,7214.9931640625,1.4253875690865685,124697433,87483177
pruned,0.5,475.68295669555664,structured,roberta-base,structured_0.5,792.790048239497,193.63589992470884,22.786081086370267,6.378069423449155,0.05880615781298886,0.535,0.8165680473372781,0.5,0.617189349112426,10.096521377563477,792.352108299164,7220.00390625,1.9909462768091144,124697433,62632244
pruned,0.7,475.68295669555664,structured,roberta-base,structured_0.7,828.0719798250692,183.7624820635097,24.476330858200743,4.840560132887969,0.055213136277405435,0.535,0.8165680473372781,0.5,0.617189349112426,10.065746307373047,794.7746501558547,7212.25390625,3.3006398185103056,124697433,37779776
pruned,0.9,475.68295669555664,structured,roberta-base,structured_0.9,1097.417891291404,294.430162899167,23.3789371330225,4.921753877477074,0.042388850473066085,0.535,0.8165680473372781,0.5,0.617189349112426,10.328516960144043,774.5545687605116,7220.00390625,9.596450040753044,124697433,12994121
original,0.0,255.5295181274414,none,distilbert-base-uncased,original,911.5868645103621,251.86994700086532,18.954590845881484,2.0198316641724143,0.0440788022917106,0.835,0.8350877192982457,0.535,0.7350292397660819,5.909981727600098,1353.6420870202267,3893.8828125,1.0,66985530,66985530
pruned,0.1,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.1,921.359809341092,249.8267911885616,19.857166469789867,2.644623952810068,0.04421741456489145,0.83,0.8512110726643599,0.545,0.7420703575547867,5.76906681060791,1386.7060761525497,3892.755859375,1.122414385141707,66985530,59679857
pruned,0.3,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.3,937.5071753539227,249.20460773608954,18.544601415663095,1.5651486870277995,0.042220902215676696,0.775,0.7840531561461794,0.505,0.6880177187153932,5.712466239929199,1400.4459131996819,3893.6328125,1.480847183350798,66985530,45234600
pruned,0.5,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.5,940.7313954326897,252.86455219310685,19.491667075537936,3.403656919214853,0.047497781318503254,0.71,0.7759197324414716,0.515,0.6669732441471572,5.727319717407227,1396.8139364885365,3900.212890625,2.1437316451330846,66985530,31247162
pruned,0.7,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.7,976.7500654135822,218.62189874450056,21.207327163518645,2.2391437820692337,0.047567368147521064,0.705,0.7615658362989324,0.465,0.6438552787663109,5.868649482727051,1363.1756375203636,3893.392578125,3.7303853507419946,66985530,17956732
pruned,0.9,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.9,1019.1004811808535,258.97799632237246,20.54273888982955,2.308629682057989,0.03650811913742969,0.62,0.7578947368421053,0.5,0.6259649122807017,5.8270263671875,1372.9129569498273,3902.962890625,11.809286078463037,66985530,5672276
pruned,0.1,255.5295181274414,structured,distilbert-base-uncased,structured_0.1,1001.9895078270351,235.57243749562912,20.260535856154394,2.5099301291762957,0.043372642919252496,0.535,0.7508305647840532,0.5,0.5952768549280177,5.957117080688477,1342.9314703137281,3892.65625,1.1103321084221898,66985530,60329274
pruned,0.3,255.5295181274414,structured,distilbert-base-uncased,structured_0.3,1003.5867980075446,274.04727747768015,19.293581638676287,1.5183237774499048,0.04702936914566941,0.485,0.7728813559322034,0.5,0.5859604519774012,5.808448791503906,1377.3040422946835,3902.962890625,1.4237391734722284,66985530,47049018
pruned,0.5,255.5295181274414,structured,distilbert-base-uncased,structured_0.5,1061.2427445609758,288.2138058000256,21.124098817004406,2.0460728180929495,0.04052560370014649,0.54,0.7491638795986622,0.5,0.5963879598662207,5.735836029052734,1394.7400099094516,3892.65625,1.9855503115823554,66985530,33736506
pruned,0.7,255.5295181274414,structured,distilbert-base-uncased,structured_0.7,1072.3087011550572,275.1800155904727,21.071356312040294,2.1737547769263754,0.04305568582398565,0.51,0.7208480565371025,0.5,0.5769493521790342,5.831389427185059,1371.8857400785491,3902.962890625,3.279746850689439,66985530,20423994
pruned,0.9,255.5295181274414,structured,distilbert-base-uncased,structured_0.9,933.4715937014431,236.3637067611637,20.422430965849806,2.4878629734330526,0.04668607115481784,0.435,0.8165680473372781,0.5,0.5838560157790927,5.474519729614258,1461.3154021026226,3892.65625,9.376817850822636,66985530,7143738
